id,con_filtro,n_relevantes,n_recuperados,MRR,P@1,P@10,P@3,P@5,R@1,R@10,R@3,R@5,nDCG@1,nDCG@10,nDCG@3,nDCG@5
Q01,False,8,10,1.0,1.0,0.5,0.6666666666666666,0.4,0.125,0.625,0.25,0.25,1.0,0.6585696678247529,0.7653606369886217,0.5531464700081437
Q02,False,14,10,1.0,1.0,1.0,1.0,1.0,0.07142857142857142,0.7142857142857143,0.21428571428571427,0.35714285714285715,1.0,1.0,1.0,1.0
Q03,False,14,10,1.0,1.0,0.9,1.0,1.0,0.07142857142857142,0.6428571428571429,0.21428571428571427,0.35714285714285715,1.0,0.933745776545611,1.0,1.0
Q04,False,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q05,False,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q06,False,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q07,False,12,10,1.0,1.0,0.9,1.0,1.0,0.08333333333333333,0.75,0.25,0.4166666666666667,1.0,0.9216017310213246,1.0,1.0
Q08,False,13,10,1.0,1.0,0.8,1.0,0.8,0.07692307692307693,0.6153846153846154,0.23076923076923078,0.3076923076923077,1.0,0.8318477135310891,1.0,0.8539316501572937
Q09,False,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q10,False,12,10,0.5,0.0,0.8,0.3333333333333333,0.6,0.0,0.6666666666666666,0.08333333333333333,0.25,0.0,0.6698623505528797,0.2960819109658652,0.4912596920895758
Q11,False,13,10,1.0,1.0,0.9,0.6666666666666666,0.8,0.07692307692307693,0.6923076923076923,0.15384615384615385,0.3076923076923077,1.0,0.8611375561264454,0.7039180890341347,0.7860137352654724
Q12,False,1,10,1.0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q13,True,9,10,1.0,1.0,0.6,0.6666666666666666,0.8,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.4444444444444444,1.0,0.7204037948220688,0.7653606369886217,0.830419897363192
Q14,True,6,10,0.5,0.0,0.5,0.6666666666666666,0.4,0.0,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.0,0.6419711018425817,0.5307212739772434,0.38356636737133565
Q15,True,13,10,0.5,0.0,0.8,0.6666666666666666,0.8,0.0,0.6153846153846154,0.15384615384615385,0.3076923076923077,0.0,0.7015099647232445,0.5307212739772434,0.6608397947263839
