archivo,bloques_originales,tablas_globales_originales,chunks_texto,chunks_tabla,chunks_total,tablas_ok,tablas_descartadas,tokens_promedio,tokens_max
2136_5882_2022-07-27,8,0,8,0,8,0,0,798.8,1503
2138_5846_2022-07-26,16,0,16,0,16,0,0,683.0,1561
2139_5854_2022-07-26,11,1,12,2,14,2,0,691.9,2048
2140_5814_2022-07-25,13,0,14,0,14,0,0,579.1,2048
2152_5349_2022-07-13,18,2,18,2,20,2,2,582.3,1398
2153_5350_2022-07-13,12,2,14,4,18,4,0,868.7,2048
2154_5351_2022-07-13,14,0,14,0,14,0,0,515.9,1236
2236_3157_2022-05-05,10,16,16,30,46,30,2,605.5,2048
2296_1014_2022-02-28,10,0,10,0,10,0,0,501.8,1591
2308_571_2022-02-09,9,0,10,0,10,0,0,728.2,2048
2309_577_2022-02-09,10,0,11,0,11,0,0,654.5,2048
2310_582_2022-02-09,13,1,13,2,15,2,0,535.2,1305
2311_583_2022-02-09,15,4,19,8,27,8,0,796.1,2048
2312_589_2022-02-09,11,0,11,0,11,0,0,480.4,1237
2330_11096_2023-12-27,11,0,12,0,12,0,0,932.8,2048
2403_7378_2023-09-14,13,3,17,6,23,6,0,842.7,2048
2404_7381_2023-09-14,15,2,17,4,21,4,0,668.0,2048
2405_7384_2023-09-14,25,2,27,4,31,4,0,603.9,2048
2407_7336_2023-09-12,14,0,14,0,14,0,0,570.1,1504
2411_7195_2023-09-07,20,0,25,0,25,0,0,1173.4,2048
2456_5935_2023-07-31,13,0,13,0,13,0,0,535.7,1247
2462_5707_2023-07-25,9,0,10,0,10,0,0,730.2,2048
2463_5718_2023-07-25,16,0,17,0,17,0,0,709.3,2048
2464_5749_2023-07-25,45,0,46,0,46,0,0,424.3,2048
2514_3158_2023-05-05,23,2,24,4,28,4,0,657.2,2048
2515_3159_2023-05-05,19,4,19,8,27,8,0,404.8,1676
2525_1964_2023-03-24,11,0,11,0,11,0,0,686.1,1681
2526_1966_2023-03-24,14,0,14,0,14,0,0,618.9,1536
2527_1967_2023-03-24,9,0,11,0,11,0,0,931.9,2048
2546_1449_2023-03-07,14,0,15,0,15,0,0,823.9,2048
2554_1092_2023-02-28,21,0,23,0,23,0,0,622.0,2048
2799_3668_2024-05-27,9,7,13,14,27,14,0,733.0,2048
2824_2702_2024-04-26,13,6,16,12,28,12,0,851.4,2048
2826_2449_2024-04-18,15,12,15,24,39,24,0,490.4,1994
2827_2450_2024-04-18,33,11,33,22,55,22,0,474.9,1572
2828_2451_2024-04-18,13,4,15,8,23,8,0,539.4,2048
2839_1516_2024-03-20,85,0,99,0,99,0,0,858.5,2048
2843_1450_2024-03-18,47,2,51,4,55,4,0,697.2,2048
2844_1451_2024-03-18,16,3,16,6,22,6,0,522.7,1871
2848_1258_2024-03-13,37,1,39,2,41,2,0,744.0,2048
2851_1213_2024-03-12,30,8,31,16,47,16,0,529.9,2048
2852_1216_2024-03-12,11,0,15,0,15,0,0,1042.3,2048
2860_858_2024-02-27,8,2,10,4,14,4,0,832.7,2048
2861_860_2024-02-27,7,0,10,0,10,0,0,1003.8,2048
2862_864_2024-02-27,20,26,25,52,77,52,0,495.8,2048
2874_614_2024-02-14,9,11,14,22,36,22,0,674.2,2048
2881_520_2024-02-08,10,0,13,0,13,0,0,1204.4,2048
2895_229_2024-01-22,17,0,17,0,17,0,0,671.5,1419
2896_183_2024-01-18,38,25,38,50,88,50,0,388.4,1992
2897_184_2024-01-18,13,13,13,26,39,26,0,528.7,1545
